1677343758.476694 client started (55706): version 3.3a, socket /private/tmp/tmux-501/default, protocol 8
1677343758.476764 on Darwin 22.3.0 Darwin Kernel Version 22.3.0: Mon Jan 30 20:39:46 PST 2023; root:xnu-8792.81.3~2/RELEASE_ARM64_T6020
1677343758.476802 using libevent 2.1.12-stable (select); utf8proc 2.8.0; ncurses 6.4
1677343758.476835 flags are 0x18010000
1677343758.476844 socket is /private/tmp/tmux-501/default
1677343758.476860 trying connect
1677343758.476953 add peer 0x120008000: 6 (0x0)
1677343758.479745 sending message 100 to peer 0x120008000 (4 bytes)
1677343758.479760 sending message 111 to peer 0x120008000 (8 bytes)
1677343758.479768 sending message 101 to peer 0x120008000 (12 bytes)
1677343758.479774 sending message 109 to peer 0x120008000 (4 bytes)
1677343758.479781 sending message 102 to peer 0x120008000 (13 bytes)
1677343758.479787 sending message 108 to peer 0x120008000 (18 bytes)
1677343758.479793 sending message 112 to peer 0x120008000 (70 bytes)
1677343758.479800 sending message 112 to peer 0x120008000 (5 bytes)
1677343758.479806 sending message 112 to peer 0x120008000 (6 bytes)
1677343758.479812 sending message 112 to peer 0x120008000 (6 bytes)
1677343758.479819 sending message 112 to peer 0x120008000 (10 bytes)
1677343758.479825 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.479831 sending message 112 to peer 0x120008000 (14 bytes)
1677343758.479837 sending message 112 to peer 0x120008000 (19 bytes)
1677343758.479843 sending message 112 to peer 0x120008000 (11 bytes)
1677343758.479849 sending message 112 to peer 0x120008000 (21 bytes)
1677343758.479855 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.479861 sending message 112 to peer 0x120008000 (7 bytes)
1677343758.479867 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.479873 sending message 112 to peer 0x120008000 (7 bytes)
1677343758.479880 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.479886 sending message 112 to peer 0x120008000 (9 bytes)
1677343758.479892 sending message 112 to peer 0x120008000 (21 bytes)
1677343758.479899 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.479905 sending message 112 to peer 0x120008000 (9 bytes)
1677343758.479911 sending message 112 to peer 0x120008000 (16 bytes)
1677343758.479917 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.479923 sending message 112 to peer 0x120008000 (9 bytes)
1677343758.479929 sending message 112 to peer 0x120008000 (9 bytes)
1677343758.479935 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.479941 sending message 112 to peer 0x120008000 (8 bytes)
1677343758.479947 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.479953 sending message 112 to peer 0x120008000 (7 bytes)
1677343758.479959 sending message 112 to peer 0x120008000 (7 bytes)
1677343758.479965 sending message 112 to peer 0x120008000 (9 bytes)
1677343758.479971 sending message 112 to peer 0x120008000 (6 bytes)
1677343758.479977 sending message 112 to peer 0x120008000 (9 bytes)
1677343758.479983 sending message 112 to peer 0x120008000 (15 bytes)
1677343758.479989 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.479995 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480001 sending message 112 to peer 0x120008000 (8 bytes)
1677343758.480008 sending message 112 to peer 0x120008000 (14 bytes)
1677343758.480014 sending message 112 to peer 0x120008000 (9 bytes)
1677343758.480020 sending message 112 to peer 0x120008000 (10 bytes)
1677343758.480026 sending message 112 to peer 0x120008000 (10 bytes)
1677343758.480032 sending message 112 to peer 0x120008000 (10 bytes)
1677343758.480039 sending message 112 to peer 0x120008000 (10 bytes)
1677343758.480045 sending message 112 to peer 0x120008000 (11 bytes)
1677343758.480051 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480057 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480063 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480069 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480075 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480094 sending message 112 to peer 0x120008000 (11 bytes)
1677343758.480099 sending message 112 to peer 0x120008000 (11 bytes)
1677343758.480104 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480108 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480113 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480117 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480121 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480126 sending message 112 to peer 0x120008000 (9 bytes)
1677343758.480130 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480135 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480139 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480143 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480148 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480152 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480157 sending message 112 to peer 0x120008000 (8 bytes)
1677343758.480161 sending message 112 to peer 0x120008000 (11 bytes)
1677343758.480166 sending message 112 to peer 0x120008000 (11 bytes)
1677343758.480170 sending message 112 to peer 0x120008000 (11 bytes)
1677343758.480174 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480179 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480183 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480188 sending message 112 to peer 0x120008000 (12 bytes)
1677343758.480192 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480197 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480201 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480205 sending message 112 to peer 0x120008000 (8 bytes)
1677343758.480210 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480214 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480219 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480223 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480227 sending message 112 to peer 0x120008000 (13 bytes)
1677343758.480232 sending message 112 to peer 0x120008000 (12 bytes)
